Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
77.5,90216867.45806676,148962612.30799782,90217860.69167778,148964235.1300791,70373811.92707326,117763830.14975455
78.0,90216580.10728675,148962142.81201452,90217539.57666217,148963710.46746984,70221226.35867423,117521900.29858848
78.5,90216304.42353715,148961692.37853003,90217231.23843668,148963206.6805709,70068640.7902752,117279970.44742242
79.0,90216039.93311259,148961260.23356786,90216935.16862781,148962722.93876222,69916055.22187617,117038040.59625635
79.5,90215786.18154117,148960845.63457656,90216650.87908964,148962258.44447315,69763469.65347715,116796110.74509028
80.0,90215542.73280343,148960447.86915374,90216377.901099,148961812.43186745,69610884.08507812,116554180.8939242
80.5,90215309.16858324,148960066.25382203,90216115.78458267,148961384.1655806,69458298.5166791,116312251.04275814
81.0,90215085.08754891,148959700.13285464,90215864.09737532,148960972.93950737,69305712.94828007,116070321.19159207
81.5,90214870.10466367,148959348.87714866,90215622.42450696,148960578.07563764,69153127.37988104,115828391.340426
82.0,90214663.85052404,148959011.883144,90215390.36751881,148960198.9229385,69000541.81148201,115586461.48925993
82.5,90214465.97072506,148958688.57178634,90215167.54380624,148959834.8562809,68847956.24308299,115344531.63809386
83.0,90214276.12525132,148958378.38753223,90214953.58598804,148959485.2754089,68695370.67468396,115102601.78692779
83.5,90214093.98789279,148958080.79739434,90214748.14130066,148959149.60395008,68542785.10628493,114860671.93576172
84.0,90213919.24568418,148957795.29002574,90214550.87101662,148958827.2884652,68390199.5378859,114618742.08459565
84.5,90213751.59836724,148957521.37484127,90214361.44988596,148958517.79753572,68237613.96948688,114376812.23342958
85.0,90213590.75787485,148957258.5811745,90214179.5656001,148958220.62088758,68085028.40108785,114134882.38226351
85.5,90213436.44783598,148957006.45746902,90214004.9182768,148957935.26854998,67932442.83268882,113892952.53109744
86.0,90213288.40310085,148956764.57050252,90213837.2199658,148957661.27004746,67779857.2642898,113651022.67993137
86.5,90213146.36928529,148956532.50464246,90213676.19417405,148957398.17362422,67627271.69589077,113409092.8287653
87.0,90213010.10233364,148956309.86113176,90213521.57540984,148957145.54549932,67474686.12749174,113167162.97759923
87.5,90212879.36809939,148956096.25740376,90213373.10874505,148956902.96915144,67322100.55909272,112925233.12643316
88.0,90212753.94194293,148955891.32642475,90213230.54939485,148956670.0446321,67169514.99069369,112683303.2752671
88.5,90212633.60834539,148955694.71606335,90213093.66231409,148956446.38790643,67016929.422294654,112441373.42410102
89.0,90212518.16053843,148955506.08848545,90212962.22180985,148956231.63021973,66864343.85389562,112199443.57293496
89.5,90212407.40014899,148955325.11957368,90212836.01116922,148956025.41748968,66711758.285496585,111957513.72176889
90.0,90212301.13685828,148955151.4983705,90212714.82230207,148955827.40972248,66559172.71709755,111715583.87060282
90.5,90212199.18807489,148954984.9265439,90212598.4553979,148955637.28045225,66406587.148698516,111473654.01943675
91.0,90212101.37862098,148954825.1178747,90212486.71859646,148955454.71620286,66254001.58029948,111231724.16827068
91.5,90212007.54043129,148954671.79776493,90212379.42767139,148955279.41597098,66101416.01190045,110989794.31710461
92.0,90211917.51226437,148954524.7027657,90212276.40572648,148955111.0907299,65948830.44350141,110747864.46593854
92.5,90211831.13942547,148954383.58012483,90212177.48290402,148954949.46295285,65796244.87510238,110505934.61477247
